country,x,y
Nigeria,295,280
Egypt,470,130
Tanzania,505,415
Kenya,535,355
Algeria,250,120
Morocco,175,80
Mozambique,515,530
Madagascar,595,530
Ivory Coast,190,290
Burkina Faso,220,245
Malawi,505,475
Senegal,110,230
Somalia,615,275
Guinea,140,265
Benin,265,270
Tunisia,310,65
Togo,245,295
Libya,380,130
Liberia,145,315
Mauritania,135,195
Namibia,365,555
Botswana,420,555
Lesotho,470,620
Equatorial Guinea,260,340
Eswatini,500,595
Comoros,580,450
Sao Tome & Principe,215,360
Ethiopia,545,290
Dr Congo,410,380
South Africa,400,630
Uganda,490,350
Sudan,470,240
Angola,370,470
Ghana,222,310
Cameroon,320,320
Niger,310,210
Mali,215,210
Zambia,440,485
Chad,380,230
Zimbabwe,465,525
Rwanda,485,375
Burundi,485,395
Sierra Leone,95,293
Congo,360,370
Central African Republic,365,310
Eritrea,545,225
Gambia,80,245
Gabon,325,365
Guinea-Bissau,70,262
Djibouti,575,250
Cape Verde,35,200
Western Sahara,110,140

